"PID","Trust_Type","Item","Measure","Rating","Category"
1,"2_Place_Trust","ChatGPT","Sense",5,"AI"
1,"2_Place_Trust","LLM","Sense",7,"AI"
1,"2_Place_Trust","Self_Driving_Car","Sense",1,"AI"
1,"2_Place_Trust","AI","Sense",7,"AI"
1,"2_Place_Trust","Amazon_Alexa","Sense",5,"AI"
1,"2_Place_Trust","Robot","Sense",7,"AI"
1,"2_Place_Trust","Rectangle","Sense",1,"Abstract"
1,"2_Place_Trust","Number_5","Sense",1,"Abstract"
1,"2_Place_Trust","Color_Blue","Sense",1,"Abstract"
1,"2_Place_Trust","Tree","Sense",1,"Inanimate_Nature"
1,"2_Place_Trust","Moon","Sense",1,"Inanimate_Nature"
1,"2_Place_Trust","Stone","Sense",1,"Inanimate_Nature"
1,"2_Place_Trust","Pizza","Sense",1,"Food"
1,"2_Place_Trust","Cheese","Sense",1,"Food"
1,"2_Place_Trust","Sandwich","Sense",1,"Food"
1,"2_Place_Trust","Vending_Machine","Sense",1,"Animate_Artifacts"
1,"2_Place_Trust","Sewing_Machine","Sense",1,"Animate_Artifacts"
1,"2_Place_Trust","Photocopier","Sense",1,"Animate_Artifacts"
1,"2_Place_Trust","Dog","Sense",1,"Animals"
1,"2_Place_Trust","Lizard","Sense",2,"Animals"
1,"2_Place_Trust","Gorilla","Sense",7,"Animals"
1,"2_Place_Trust","Microsoft","Sense",7,"Groups"
1,"2_Place_Trust","Government","Sense",7,"Groups"
1,"2_Place_Trust","Newspaper","Sense",1,"Groups"
1,"2_Place_Trust","My_Mother","Sense",7,"Humans"
1,"2_Place_Trust","Doctor","Sense",7,"Humans"
1,"2_Place_Trust","Cashier","Sense",7,"Humans"
1,"2_Place_Trust","Table","Sense",1,"Inanimate_Artifiacts"
1,"2_Place_Trust","Chair","Sense",1,"Inanimate_Artifiacts"
1,"2_Place_Trust","Shelf","Sense",1,"Inanimate_Artifiacts"
3,"2_Place_Trust","ChatGPT","Felicity",5,"AI"
3,"2_Place_Trust","LLM","Felicity",2,"AI"
3,"2_Place_Trust","Self_Driving_Car","Felicity",2,"AI"
3,"2_Place_Trust","AI","Felicity",5,"AI"
3,"2_Place_Trust","Amazon_Alexa","Felicity",3,"AI"
3,"2_Place_Trust","Robot","Felicity",4,"AI"
3,"2_Place_Trust","Rectangle","Felicity",1,"Abstract"
3,"2_Place_Trust","Number_5","Felicity",1,"Abstract"
3,"2_Place_Trust","Color_Blue","Felicity",1,"Abstract"
3,"2_Place_Trust","Tree","Felicity",2,"Inanimate_Nature"
3,"2_Place_Trust","Moon","Felicity",1,"Inanimate_Nature"
3,"2_Place_Trust","Stone","Felicity",1,"Inanimate_Nature"
3,"2_Place_Trust","Pizza","Felicity",1,"Food"
3,"2_Place_Trust","Cheese","Felicity",1,"Food"
3,"2_Place_Trust","Sandwich","Felicity",2,"Food"
3,"2_Place_Trust","Vending_Machine","Felicity",1,"Animate_Artifacts"
3,"2_Place_Trust","Sewing_Machine","Felicity",4,"Animate_Artifacts"
3,"2_Place_Trust","Photocopier","Felicity",4,"Animate_Artifacts"
3,"2_Place_Trust","Dog","Felicity",7,"Animals"
3,"2_Place_Trust","Lizard","Felicity",5,"Animals"
3,"2_Place_Trust","Gorilla","Felicity",5,"Animals"
3,"2_Place_Trust","Microsoft","Felicity",5,"Groups"
3,"2_Place_Trust","Government","Felicity",7,"Groups"
3,"2_Place_Trust","Newspaper","Felicity",7,"Groups"
3,"2_Place_Trust","My_Mother","Sense0",7,"Humans"
3,"2_Place_Trust","Doctor","Sense1",7,"Humans"
3,"2_Place_Trust","Cashier","Sense2",7,"Humans"
3,"2_Place_Trust","Table","Sense3",1,"Inanimate_Artifiacts"
3,"2_Place_Trust","Chair","Sense4",1,"Inanimate_Artifiacts"
3,"2_Place_Trust","Shelf","Sense5",1,"Inanimate_Artifiacts"
4,"Trustworthiness","ChatGPT","Felicity",3,"AI"
4,"Trustworthiness","LLM","Felicity",5,"AI"
4,"Trustworthiness","Self_Driving_Car","Felicity",4,"AI"
4,"Trustworthiness","AI","Felicity",5,"AI"
4,"Trustworthiness","Amazon_Alexa","Felicity",5,"AI"
4,"Trustworthiness","Robot","Felicity",3,"AI"
4,"Trustworthiness","Rectangle","Felicity",1,"Abstract"
4,"Trustworthiness","Number_5","Felicity",1,"Abstract"
4,"Trustworthiness","Color_Blue","Felicity",1,"Abstract"
4,"Trustworthiness","Tree","Felicity",1,"Inanimate_Nature"
4,"Trustworthiness","Moon","Felicity",2,"Inanimate_Nature"
4,"Trustworthiness","Stone","Felicity",2,"Inanimate_Nature"
4,"Trustworthiness","Pizza","Felicity",1,"Food"
4,"Trustworthiness","Cheese","Felicity",1,"Food"
4,"Trustworthiness","Sandwich","Felicity",1,"Food"
4,"Trustworthiness","Vending_Machine","Felicity",1,"Animate_Artifacts"
4,"Trustworthiness","Sewing_Machine","Felicity",4,"Animate_Artifacts"
4,"Trustworthiness","Photocopier","Felicity",4,"Animate_Artifacts"
4,"Trustworthiness","Dog","Felicity",3,"Animals"
4,"Trustworthiness","Lizard","Felicity",1,"Animals"
4,"Trustworthiness","Gorilla","Felicity",3,"Animals"
4,"Trustworthiness","Microsoft","Felicity",5,"Groups"
4,"Trustworthiness","Government","Felicity",4,"Groups"
4,"Trustworthiness","Newspaper","Felicity",5,"Groups"
4,"Trustworthiness","My_Mother","Sense0",7,"Humans"
4,"Trustworthiness","Doctor","Sense1",7,"Humans"
4,"Trustworthiness","Cashier","Sense2",7,"Humans"
4,"Trustworthiness","Table","Sense3",1,"Inanimate_Artifiacts"
4,"Trustworthiness","Chair","Sense4",1,"Inanimate_Artifiacts"
4,"Trustworthiness","Shelf","Sense5",1,"Inanimate_Artifiacts"
5,"Trustworthiness","ChatGPT","Felicity",7,"AI"
5,"Trustworthiness","LLM","Felicity",4,"AI"
5,"Trustworthiness","Self_Driving_Car","Felicity",7,"AI"
5,"Trustworthiness","AI","Felicity",7,"AI"
5,"Trustworthiness","Amazon_Alexa","Felicity",7,"AI"
5,"Trustworthiness","Robot","Felicity",7,"AI"
5,"Trustworthiness","Rectangle","Felicity",1,"Abstract"
5,"Trustworthiness","Number_5","Felicity",1,"Abstract"
5,"Trustworthiness","Color_Blue","Felicity",1,"Abstract"
5,"Trustworthiness","Tree","Felicity",1,"Inanimate_Nature"
5,"Trustworthiness","Moon","Felicity",1,"Inanimate_Nature"
5,"Trustworthiness","Stone","Felicity",1,"Inanimate_Nature"
5,"Trustworthiness","Pizza","Felicity",3,"Food"
5,"Trustworthiness","Cheese","Felicity",1,"Food"
5,"Trustworthiness","Sandwich","Felicity",1,"Food"
5,"Trustworthiness","Vending_Machine","Felicity",7,"Animate_Artifacts"
5,"Trustworthiness","Sewing_Machine","Felicity",7,"Animate_Artifacts"
5,"Trustworthiness","Photocopier","Felicity",7,"Animate_Artifacts"
5,"Trustworthiness","Dog","Felicity",7,"Animals"
5,"Trustworthiness","Lizard","Felicity",1,"Animals"
5,"Trustworthiness","Gorilla","Felicity",1,"Animals"
5,"Trustworthiness","Microsoft","Felicity",7,"Groups"
5,"Trustworthiness","Government","Felicity",7,"Groups"
5,"Trustworthiness","Newspaper","Felicity",7,"Groups"
5,"Trustworthiness","My_Mother","Sense0",7,"Humans"
5,"Trustworthiness","Doctor","Sense1",7,"Humans"
5,"Trustworthiness","Cashier","Sense2",7,"Humans"
5,"Trustworthiness","Table","Sense3",7,"Inanimate_Artifiacts"
5,"Trustworthiness","Chair","Sense4",5,"Inanimate_Artifiacts"
5,"Trustworthiness","Shelf","Sense5",7,"Inanimate_Artifiacts"
6,"1_Place_Trust","ChatGPT","Sense",7,"AI"
6,"1_Place_Trust","LLM","Sense",4,"AI"
6,"1_Place_Trust","Self_Driving_Car","Sense",7,"AI"
6,"1_Place_Trust","AI","Sense",4,"AI"
6,"1_Place_Trust","Amazon_Alexa","Sense",7,"AI"
6,"1_Place_Trust","Robot","Sense",7,"AI"
6,"1_Place_Trust","Rectangle","Sense",1,"Abstract"
6,"1_Place_Trust","Number_5","Sense",2,"Abstract"
6,"1_Place_Trust","Color_Blue","Sense",1,"Abstract"
