"","PID","Trust_Type","Item","Measure","Rating","Category"
"1",1,"2_Place_Trust","ChatGPT","Sense",5,"AI"
"2",1,"2_Place_Trust","LLM","Sense",7,"AI"
"3",1,"2_Place_Trust","Self_Driving_Car","Sense",1,"AI"
"4",1,"2_Place_Trust","AI","Sense",7,"AI"
"5",1,"2_Place_Trust","Amazon_Alexa","Sense",5,"AI"
"6",1,"2_Place_Trust","Robot","Sense",7,"AI"
"7",1,"2_Place_Trust","Rectangle","Sense",1,"Abstract"
"8",1,"2_Place_Trust","Number_5","Sense",1,"Abstract"
"9",1,"2_Place_Trust","Color_Blue","Sense",1,"Abstract"
"10",1,"2_Place_Trust","Tree","Sense",1,"Inanimate_Nature"
"11",1,"2_Place_Trust","Moon","Sense",1,"Inanimate_Nature"
"12",1,"2_Place_Trust","Stone","Sense",1,"Inanimate_Nature"
"13",1,"2_Place_Trust","Pizza","Sense",1,"Food"
"14",1,"2_Place_Trust","Cheese","Sense",1,"Food"
"15",1,"2_Place_Trust","Sandwich","Sense",1,"Food"
"16",1,"2_Place_Trust","Vending_Machine","Sense",1,"Animate_Artifacts"
"17",1,"2_Place_Trust","Sewing_Machine","Sense",1,"Animate_Artifacts"
"18",1,"2_Place_Trust","Photocopier","Sense",1,"Animate_Artifacts"
"19",1,"2_Place_Trust","Dog","Sense",1,"Animals"
"20",1,"2_Place_Trust","Lizard","Sense",2,"Animals"
"21",1,"2_Place_Trust","Gorilla","Sense",7,"Animals"
"22",1,"2_Place_Trust","Microsoft","Sense",7,"Groups"
"23",1,"2_Place_Trust","Government","Sense",7,"Groups"
"24",1,"2_Place_Trust","Newspaper","Sense",1,"Groups"
"25",1,"2_Place_Trust","My_Mother","Sense",7,"Humans"
"26",1,"2_Place_Trust","Doctor","Sense",7,"Humans"
"27",1,"2_Place_Trust","Cashier","Sense",7,"Humans"
"28",1,"2_Place_Trust","Table","Sense",1,"Inanimate_Artifiacts"
"29",1,"2_Place_Trust","Chair","Sense",1,"Inanimate_Artifiacts"
"30",1,"2_Place_Trust","Shelf","Sense",1,"Inanimate_Artifiacts"
"31",3,"2_Place_Trust","ChatGPT","Felicity",5,"AI"
"32",3,"2_Place_Trust","LLM","Felicity",2,"AI"
"33",3,"2_Place_Trust","Self_Driving_Car","Felicity",2,"AI"
"34",3,"2_Place_Trust","AI","Felicity",5,"AI"
"35",3,"2_Place_Trust","Amazon_Alexa","Felicity",3,"AI"
"36",3,"2_Place_Trust","Robot","Felicity",4,"AI"
"37",3,"2_Place_Trust","Rectangle","Felicity",1,"Abstract"
"38",3,"2_Place_Trust","Number_5","Felicity",1,"Abstract"
"39",3,"2_Place_Trust","Color_Blue","Felicity",1,"Abstract"
"40",3,"2_Place_Trust","Tree","Felicity",2,"Inanimate_Nature"
"41",3,"2_Place_Trust","Moon","Felicity",1,"Inanimate_Nature"
"42",3,"2_Place_Trust","Stone","Felicity",1,"Inanimate_Nature"
"43",3,"2_Place_Trust","Pizza","Felicity",1,"Food"
"44",3,"2_Place_Trust","Cheese","Felicity",1,"Food"
"45",3,"2_Place_Trust","Sandwich","Felicity",2,"Food"
"46",3,"2_Place_Trust","Vending_Machine","Felicity",1,"Animate_Artifacts"
"47",3,"2_Place_Trust","Sewing_Machine","Felicity",4,"Animate_Artifacts"
"48",3,"2_Place_Trust","Photocopier","Felicity",4,"Animate_Artifacts"
"49",3,"2_Place_Trust","Dog","Felicity",7,"Animals"
"50",3,"2_Place_Trust","Lizard","Felicity",5,"Animals"
"51",3,"2_Place_Trust","Gorilla","Felicity",5,"Animals"
"52",3,"2_Place_Trust","Microsoft","Felicity",5,"Groups"
"53",3,"2_Place_Trust","Government","Felicity",7,"Groups"
"54",3,"2_Place_Trust","Newspaper","Felicity",7,"Groups"
"55",3,"2_Place_Trust","My_Mother","Sense0",7,"Humans"
"56",3,"2_Place_Trust","Doctor","Sense1",7,"Humans"
"57",3,"2_Place_Trust","Cashier","Sense2",7,"Humans"
"58",3,"2_Place_Trust","Table","Sense3",1,"Inanimate_Artifiacts"
"59",3,"2_Place_Trust","Chair","Sense4",1,"Inanimate_Artifiacts"
"60",3,"2_Place_Trust","Shelf","Sense5",1,"Inanimate_Artifiacts"
"61",4,"Trustworthiness","ChatGPT","Felicity",3,"AI"
"62",4,"Trustworthiness","LLM","Felicity",5,"AI"
"63",4,"Trustworthiness","Self_Driving_Car","Felicity",4,"AI"
"64",4,"Trustworthiness","AI","Felicity",5,"AI"
"65",4,"Trustworthiness","Amazon_Alexa","Felicity",5,"AI"
"66",4,"Trustworthiness","Robot","Felicity",3,"AI"
"67",4,"Trustworthiness","Rectangle","Felicity",1,"Abstract"
"68",4,"Trustworthiness","Number_5","Felicity",1,"Abstract"
"69",4,"Trustworthiness","Color_Blue","Felicity",1,"Abstract"
"70",4,"Trustworthiness","Tree","Felicity",1,"Inanimate_Nature"
"71",4,"Trustworthiness","Moon","Felicity",2,"Inanimate_Nature"
"72",4,"Trustworthiness","Stone","Felicity",2,"Inanimate_Nature"
"73",4,"Trustworthiness","Pizza","Felicity",1,"Food"
"74",4,"Trustworthiness","Cheese","Felicity",1,"Food"
"75",4,"Trustworthiness","Sandwich","Felicity",1,"Food"
"76",4,"Trustworthiness","Vending_Machine","Felicity",1,"Animate_Artifacts"
"77",4,"Trustworthiness","Sewing_Machine","Felicity",4,"Animate_Artifacts"
"78",4,"Trustworthiness","Photocopier","Felicity",4,"Animate_Artifacts"
"79",4,"Trustworthiness","Dog","Felicity",3,"Animals"
"80",4,"Trustworthiness","Lizard","Felicity",1,"Animals"
"81",4,"Trustworthiness","Gorilla","Felicity",3,"Animals"
"82",4,"Trustworthiness","Microsoft","Felicity",5,"Groups"
"83",4,"Trustworthiness","Government","Felicity",4,"Groups"
"84",4,"Trustworthiness","Newspaper","Felicity",5,"Groups"
"85",4,"Trustworthiness","My_Mother","Sense0",7,"Humans"
"86",4,"Trustworthiness","Doctor","Sense1",7,"Humans"
"87",4,"Trustworthiness","Cashier","Sense2",7,"Humans"
"88",4,"Trustworthiness","Table","Sense3",1,"Inanimate_Artifiacts"
"89",4,"Trustworthiness","Chair","Sense4",1,"Inanimate_Artifiacts"
"90",4,"Trustworthiness","Shelf","Sense5",1,"Inanimate_Artifiacts"
"91",5,"Trustworthiness","ChatGPT","Felicity",7,"AI"
"92",5,"Trustworthiness","LLM","Felicity",4,"AI"
"93",5,"Trustworthiness","Self_Driving_Car","Felicity",7,"AI"
"94",5,"Trustworthiness","AI","Felicity",7,"AI"
"95",5,"Trustworthiness","Amazon_Alexa","Felicity",7,"AI"
"96",5,"Trustworthiness","Robot","Felicity",7,"AI"
"97",5,"Trustworthiness","Rectangle","Felicity",1,"Abstract"
"98",5,"Trustworthiness","Number_5","Felicity",1,"Abstract"
"99",5,"Trustworthiness","Color_Blue","Felicity",1,"Abstract"
"100",5,"Trustworthiness","Tree","Felicity",1,"Inanimate_Nature"
"101",5,"Trustworthiness","Moon","Felicity",1,"Inanimate_Nature"
"102",5,"Trustworthiness","Stone","Felicity",1,"Inanimate_Nature"
"103",5,"Trustworthiness","Pizza","Felicity",3,"Food"
"104",5,"Trustworthiness","Cheese","Felicity",1,"Food"
"105",5,"Trustworthiness","Sandwich","Felicity",1,"Food"
"106",5,"Trustworthiness","Vending_Machine","Felicity",7,"Animate_Artifacts"
"107",5,"Trustworthiness","Sewing_Machine","Felicity",7,"Animate_Artifacts"
"108",5,"Trustworthiness","Photocopier","Felicity",7,"Animate_Artifacts"
"109",5,"Trustworthiness","Dog","Felicity",7,"Animals"
"110",5,"Trustworthiness","Lizard","Felicity",1,"Animals"
"111",5,"Trustworthiness","Gorilla","Felicity",1,"Animals"
"112",5,"Trustworthiness","Microsoft","Felicity",7,"Groups"
"113",5,"Trustworthiness","Government","Felicity",7,"Groups"
"114",5,"Trustworthiness","Newspaper","Felicity",7,"Groups"
"115",5,"Trustworthiness","My_Mother","Sense0",7,"Humans"
"116",5,"Trustworthiness","Doctor","Sense1",7,"Humans"
"117",5,"Trustworthiness","Cashier","Sense2",7,"Humans"
"118",5,"Trustworthiness","Table","Sense3",7,"Inanimate_Artifiacts"
"119",5,"Trustworthiness","Chair","Sense4",5,"Inanimate_Artifiacts"
"120",5,"Trustworthiness","Shelf","Sense5",7,"Inanimate_Artifiacts"
"121",6,"1_Place_Trust","ChatGPT","Sense",7,"AI"
"122",6,"1_Place_Trust","LLM","Sense",4,"AI"
"123",6,"1_Place_Trust","Self_Driving_Car","Sense",7,"AI"
"124",6,"1_Place_Trust","AI","Sense",4,"AI"
"125",6,"1_Place_Trust","Amazon_Alexa","Sense",7,"AI"
"126",6,"1_Place_Trust","Robot","Sense",7,"AI"
"127",6,"1_Place_Trust","Rectangle","Sense",1,"Abstract"
"128",6,"1_Place_Trust","Number_5","Sense",2,"Abstract"
"129",6,"1_Place_Trust","Color_Blue","Sense",1,"Abstract"
"130",6,"1_Place_Trust","Tree","Sense",1,"Inanimate_Nature"
"131",6,"1_Place_Trust","Moon","Sense",1,"Inanimate_Nature"
"132",6,"1_Place_Trust","Stone","Sense",2,"Inanimate_Nature"
"133",6,"1_Place_Trust","Pizza","Sense",7,"Food"
"134",6,"1_Place_Trust","Cheese","Sense",5,"Food"
"135",6,"1_Place_Trust","Sandwich","Sense",7,"Food"
"136",6,"1_Place_Trust","Vending_Machine","Sense",5,"Animate_Artifacts"
"137",6,"1_Place_Trust","Sewing_Machine","Sense",2,"Animate_Artifacts"
"138",6,"1_Place_Trust","Photocopier","Sense",5,"Animate_Artifacts"
"139",6,"1_Place_Trust","Dog","Sense",7,"Animals"
"140",6,"1_Place_Trust","Lizard","Sense",7,"Animals"
"141",6,"1_Place_Trust","Gorilla","Sense",3,"Animals"
"142",6,"1_Place_Trust","Microsoft","Sense",7,"Groups"
"143",6,"1_Place_Trust","Government","Sense",7,"Groups"
"144",6,"1_Place_Trust","Newspaper","Sense",7,"Groups"
"145",6,"1_Place_Trust","My_Mother","Sense",7,"Humans"
"146",6,"1_Place_Trust","Doctor","Sense",7,"Humans"
"147",6,"1_Place_Trust","Cashier","Sense",7,"Humans"
"148",6,"1_Place_Trust","Table","Sense",4,"Inanimate_Artifiacts"
"149",6,"1_Place_Trust","Chair","Sense",7,"Inanimate_Artifiacts"
"150",6,"1_Place_Trust","Shelf","Sense",5,"Inanimate_Artifiacts"
"151",7,"1_Place_Trust","ChatGPT","Sense",6,"AI"
"152",7,"1_Place_Trust","LLM","Sense",6,"AI"
"153",7,"1_Place_Trust","Self_Driving_Car","Sense",6,"AI"
"154",7,"1_Place_Trust","AI","Sense",6,"AI"
"155",7,"1_Place_Trust","Amazon_Alexa","Sense",6,"AI"
"156",7,"1_Place_Trust","Robot","Sense",6,"AI"
"157",7,"1_Place_Trust","Rectangle","Sense",2,"Abstract"
"158",7,"1_Place_Trust","Number_5","Sense",4,"Abstract"
"159",7,"1_Place_Trust","Color_Blue","Sense",2,"Abstract"
"160",7,"1_Place_Trust","Tree","Sense",2,"Inanimate_Nature"
"161",7,"1_Place_Trust","Moon","Sense",2,"Inanimate_Nature"
"162",7,"1_Place_Trust","Stone","Sense",2,"Inanimate_Nature"
"163",7,"1_Place_Trust","Pizza","Sense",7,"Food"
"164",7,"1_Place_Trust","Cheese","Sense",2,"Food"
