PID,Measure,Item,Rating,Category
1,Felicity,ChatGPT,4,AI
1,Felicity,LLM,4,AI
1,Felicity,Self_Driving_Car,3,AI
1,Felicity,AI,4,AI
1,Felicity,Amazon_Alexa,5,AI
1,Felicity,Robot,4,AI
1,Felicity,Rectangle,5,Abstract
1,Felicity,Number_5,5,Abstract
1,Felicity,Color_Blue,4,Abstract
1,Felicity,Tree,5,Inanimate_Nature
1,Felicity,Moon,5,Inanimate_Nature
1,Felicity,Stone,5,Inanimate_Nature
1,Felicity,Pizza,5,Food
1,Felicity,Cheese,5,Food
1,Felicity,Sandwich,3,Food
1,Felicity,Vending_Machine,2,Animate_Artifacts
1,Felicity,Sewing_Machine,5,Animate_Artifacts
1,Felicity,Photocopier,5,Animate_Artifacts
1,Felicity,Dog,7,Animals
1,Felicity,Lizard,4,Animals
1,Felicity,Gorilla,5,Animals
1,Felicity,Microsoft,5,Group_Agents
1,Felicity,Government,6,Group_Agents
1,Felicity,Newspaper,6,Group_Agents
1,Felicity,My_Mother,7,Agents
1,Felicity,Doctor,6,Agents
1,Felicity,Cashier,6,Agents
3,Sense,ChatGPT,2,AI
3,Sense,LLM,1,AI
3,Sense,Self_Driving_Car,7,AI
3,Sense,AI,3,AI
3,Sense,Amazon_Alexa,7,AI
3,Sense,Robot,5,AI
3,Sense,Rectangle,1,Abstract
3,Sense,Number_5,1,Abstract
3,Sense,Color_Blue,1,Abstract
3,Sense,Tree,1,Inanimate_Nature
3,Sense,Moon,1,Inanimate_Nature
3,Sense,Stone,1,Inanimate_Nature
3,Sense,Pizza,1,Food
3,Sense,Cheese,1,Food
3,Sense,Sandwich,1,Food
3,Sense,Vending_Machine,2,Animate_Artifacts
3,Sense,Sewing_Machine,1,Animate_Artifacts
3,Sense,Photocopier,4,Animate_Artifacts
3,Sense,Dog,7,Animals
3,Sense,Lizard,4,Animals
3,Sense,Gorilla,4,Animals
3,Sense,Microsoft,6,Group_Agents
3,Sense,Government,7,Group_Agents
3,Sense,Newspaper,3,Group_Agents
3,Sense,My_Mother,7,Agents
3,Sense,Doctor,7,Agents
3,Sense,Cashier,7,Agents
4,Sense,ChatGPT,6,AI
4,Sense,LLM,3,AI
4,Sense,Self_Driving_Car,6,AI
4,Sense,AI,6,AI
4,Sense,Amazon_Alexa,5,AI
4,Sense,Robot,3,AI
4,Sense,Rectangle,1,Abstract
4,Sense,Number_5,2,Abstract
4,Sense,Color_Blue,1,Abstract
4,Sense,Tree,2,Inanimate_Nature
4,Sense,Moon,1,Inanimate_Nature
4,Sense,Stone,3,Inanimate_Nature
4,Sense,Pizza,2,Food
4,Sense,Cheese,2,Food
4,Sense,Sandwich,2,Food
4,Sense,Vending_Machine,1,Animate_Artifacts
4,Sense,Sewing_Machine,1,Animate_Artifacts
4,Sense,Photocopier,1,Animate_Artifacts
4,Sense,Dog,7,Animals
4,Sense,Lizard,5,Animals
4,Sense,Gorilla,2,Animals
4,Sense,Microsoft,6,Group_Agents
4,Sense,Government,7,Group_Agents
4,Sense,Newspaper,7,Group_Agents
4,Sense,My_Mother,7,Agents
4,Sense,Doctor,7,Agents
4,Sense,Cashier,7,Agents
5,Felicity,ChatGPT,1,AI
5,Felicity,LLM,4,AI
5,Felicity,Self_Driving_Car,3,AI
5,Felicity,AI,1,AI
5,Felicity,Amazon_Alexa,1,AI
5,Felicity,Robot,1,AI
5,Felicity,Rectangle,1,Abstract
5,Felicity,Number_5,5,Abstract
5,Felicity,Color_Blue,5,Abstract
5,Felicity,Tree,1,Inanimate_Nature
5,Felicity,Moon,4,Inanimate_Nature
5,Felicity,Stone,1,Inanimate_Nature
5,Felicity,Pizza,1,Food
5,Felicity,Cheese,1,Food
5,Felicity,Sandwich,1,Food
5,Felicity,Vending_Machine,1,Animate_Artifacts
5,Felicity,Sewing_Machine,1,Animate_Artifacts
5,Felicity,Photocopier,1,Animate_Artifacts
5,Felicity,Dog,7,Animals
5,Felicity,Lizard,1,Animals
5,Felicity,Gorilla,1,Animals
5,Felicity,Microsoft,5,Group_Agents
5,Felicity,Government,4,Group_Agents
5,Felicity,Newspaper,4,Group_Agents
5,Felicity,My_Mother,7,Agents
5,Felicity,Doctor,7,Agents
5,Felicity,Cashier,3,Agents
6,Sense,ChatGPT,7,AI
6,Sense,LLM,7,AI
6,Sense,Self_Driving_Car,7,AI
6,Sense,AI,7,AI
6,Sense,Amazon_Alexa,7,AI
6,Sense,Robot,7,AI
6,Sense,Rectangle,1,Abstract
6,Sense,Number_5,1,Abstract
6,Sense,Color_Blue,2,Abstract
6,Sense,Tree,3,Inanimate_Nature
6,Sense,Moon,1,Inanimate_Nature
6,Sense,Stone,2,Inanimate_Nature
6,Sense,Pizza,3,Food
6,Sense,Cheese,3,Food
6,Sense,Sandwich,3,Food
6,Sense,Vending_Machine,5,Animate_Artifacts
6,Sense,Sewing_Machine,5,Animate_Artifacts
6,Sense,Photocopier,3,Animate_Artifacts
6,Sense,Dog,7,Animals
6,Sense,Lizard,7,Animals
6,Sense,Gorilla,7,Animals
6,Sense,Microsoft,7,Group_Agents
6,Sense,Government,7,Group_Agents
6,Sense,Newspaper,7,Group_Agents
6,Sense,My_Mother,7,Agents
6,Sense,Doctor,7,Agents
6,Sense,Cashier,7,Agents
7,Felicity,ChatGPT,6,AI
7,Felicity,LLM,4,AI
7,Felicity,Self_Driving_Car,7,AI
7,Felicity,AI,7,AI
7,Felicity,Amazon_Alexa,7,AI
7,Felicity,Robot,7,AI
7,Felicity,Rectangle,1,Abstract
7,Felicity,Number_5,1,Abstract
7,Felicity,Color_Blue,1,Abstract
7,Felicity,Tree,1,Inanimate_Nature
7,Felicity,Moon,1,Inanimate_Nature
7,Felicity,Stone,1,Inanimate_Nature
7,Felicity,Pizza,1,Food
7,Felicity,Cheese,1,Food
7,Felicity,Sandwich,1,Food
7,Felicity,Vending_Machine,5,Animate_Artifacts
7,Felicity,Sewing_Machine,1,Animate_Artifacts
7,Felicity,Photocopier,5,Animate_Artifacts
7,Felicity,Dog,7,Animals
7,Felicity,Lizard,1,Animals
