"PID","Trait","Item","Measure","Rating","Category"
1,"Good Intentions","ChatGPT","Sense",6,"AI"
1,"Good Intentions","LLM","Sense",3,"AI"
1,"Good Intentions","Self_Driving_Car","Sense",6,"AI"
1,"Good Intentions","AI","Sense",6,"AI"
1,"Good Intentions","Amazon_Alexa","Sense",6,"AI"
1,"Good Intentions","Robot","Sense",6,"AI"
1,"Good Intentions","Rectangle","Sense",1,"Abstract"
1,"Good Intentions","Number_5","Sense",1,"Abstract"
1,"Good Intentions","Color_Blue","Sense",1,"Abstract"
1,"Good Intentions","Tree","Sense",2,"Inanimate_Nature"
1,"Good Intentions","Moon","Sense",2,"Inanimate_Nature"
1,"Good Intentions","Stone","Sense",2,"Inanimate_Nature"
1,"Good Intentions","Pizza","Sense",2,"Food"
1,"Good Intentions","Cheese","Sense",1,"Food"
1,"Good Intentions","Sandwich","Sense",2,"Food"
1,"Good Intentions","Vending_Machine","Sense",3,"Animate_Artifacts"
1,"Good Intentions","Sewing_Machine","Sense",2,"Animate_Artifacts"
1,"Good Intentions","Photocopier","Sense",3,"Animate_Artifacts"
1,"Good Intentions","Dog","Sense",5,"Animals"
1,"Good Intentions","Lizard","Sense",2,"Animals"
1,"Good Intentions","Gorilla","Sense",6,"Animals"
1,"Good Intentions","Microsoft","Sense",6,"Groups"
1,"Good Intentions","Government","Sense",6,"Groups"
1,"Good Intentions","Newspaper","Sense",6,"Groups"
1,"Good Intentions","My_Mother","Sense",7,"Humans"
1,"Good Intentions","Doctor","Sense",7,"Humans"
1,"Good Intentions","Cashier","Sense",6,"Humans"
1,"Good Intentions","Table","Sense",1,"Inanimate_Artifiacts"
1,"Good Intentions","Chair","Sense",1,"Inanimate_Artifiacts"
1,"Good Intentions","Shelf","Sense",1,"Inanimate_Artifiacts"
2,"Trust","ChatGPT","Felicity",7,"AI"
2,"Trust","LLM","Felicity",5,"AI"
2,"Trust","Self_Driving_Car","Felicity",5,"AI"
2,"Trust","AI","Felicity",5,"AI"
2,"Trust","Amazon_Alexa","Felicity",7,"AI"
2,"Trust","Robot","Felicity",6,"AI"
2,"Trust","Rectangle","Felicity",1,"Abstract"
2,"Trust","Number_5","Felicity",3,"Abstract"
2,"Trust","Color_Blue","Felicity",2,"Abstract"
2,"Trust","Tree","Felicity",3,"Inanimate_Nature"
2,"Trust","Moon","Felicity",1,"Inanimate_Nature"
2,"Trust","Stone","Felicity",1,"Inanimate_Nature"
2,"Trust","Pizza","Felicity",2,"Food"
2,"Trust","Cheese","Felicity",1,"Food"
2,"Trust","Sandwich","Felicity",1,"Food"
2,"Trust","Vending_Machine","Felicity",5,"Animate_Artifacts"
2,"Trust","Sewing_Machine","Felicity",3,"Animate_Artifacts"
2,"Trust","Photocopier","Felicity",5,"Animate_Artifacts"
2,"Trust","Dog","Felicity",7,"Animals"
2,"Trust","Lizard","Felicity",3,"Animals"
2,"Trust","Gorilla","Felicity",5,"Animals"
2,"Trust","Microsoft","Felicity",7,"Groups"
2,"Trust","Government","Felicity",7,"Groups"
2,"Trust","Newspaper","Felicity",7,"Groups"
2,"Trust","My_Mother","Felicity",7,"Humans"
2,"Trust","Doctor","Felicity",7,"Humans"
2,"Trust","Cashier","Felicity",7,"Humans"
2,"Trust","Table","Felicity",4,"Inanimate_Artifiacts"
2,"Trust","Chair","Felicity",4,"Inanimate_Artifiacts"
2,"Trust","Shelf","Felicity",5,"Inanimate_Artifiacts"
3,"Good Intentions","ChatGPT","Felicity",1,"AI"
3,"Good Intentions","LLM","Felicity",1,"AI"
3,"Good Intentions","Self_Driving_Car","Felicity",1,"AI"
3,"Good Intentions","AI","Felicity",1,"AI"
3,"Good Intentions","Amazon_Alexa","Felicity",1,"AI"
3,"Good Intentions","Robot","Felicity",1,"AI"
3,"Good Intentions","Rectangle","Felicity",1,"Abstract"
3,"Good Intentions","Number_5","Felicity",1,"Abstract"
3,"Good Intentions","Color_Blue","Felicity",1,"Abstract"
3,"Good Intentions","Tree","Felicity",1,"Inanimate_Nature"
3,"Good Intentions","Moon","Felicity",1,"Inanimate_Nature"
3,"Good Intentions","Stone","Felicity",1,"Inanimate_Nature"
3,"Good Intentions","Pizza","Felicity",1,"Food"
3,"Good Intentions","Cheese","Felicity",1,"Food"
3,"Good Intentions","Sandwich","Felicity",1,"Food"
3,"Good Intentions","Vending_Machine","Felicity",1,"Animate_Artifacts"
3,"Good Intentions","Sewing_Machine","Felicity",1,"Animate_Artifacts"
3,"Good Intentions","Photocopier","Felicity",1,"Animate_Artifacts"
3,"Good Intentions","Dog","Felicity",5,"Animals"
3,"Good Intentions","Lizard","Felicity",1,"Animals"
3,"Good Intentions","Gorilla","Felicity",5,"Animals"
3,"Good Intentions","Microsoft","Felicity",7,"Groups"
3,"Good Intentions","Government","Felicity",7,"Groups"
3,"Good Intentions","Newspaper","Felicity",1,"Groups"
3,"Good Intentions","My_Mother","Felicity",7,"Humans"
3,"Good Intentions","Doctor","Felicity",7,"Humans"
3,"Good Intentions","Cashier","Felicity",7,"Humans"
3,"Good Intentions","Table","Felicity",1,"Inanimate_Artifiacts"
3,"Good Intentions","Chair","Felicity",1,"Inanimate_Artifiacts"
3,"Good Intentions","Shelf","Felicity",1,"Inanimate_Artifiacts"
4,"Good Intentions","ChatGPT","Felicity",4,"AI"
4,"Good Intentions","LLM","Felicity",5,"AI"
4,"Good Intentions","Self_Driving_Car","Felicity",3,"AI"
4,"Good Intentions","AI","Felicity",2,"AI"
4,"Good Intentions","Amazon_Alexa","Felicity",4,"AI"
4,"Good Intentions","Robot","Felicity",5,"AI"
4,"Good Intentions","Rectangle","Felicity",1,"Abstract"
4,"Good Intentions","Number_5","Felicity",1,"Abstract"
4,"Good Intentions","Color_Blue","Felicity",2,"Abstract"
4,"Good Intentions","Tree","Felicity",1,"Inanimate_Nature"
4,"Good Intentions","Moon","Felicity",1,"Inanimate_Nature"
4,"Good Intentions","Stone","Felicity",1,"Inanimate_Nature"
4,"Good Intentions","Pizza","Felicity",3,"Food"
4,"Good Intentions","Cheese","Felicity",1,"Food"
4,"Good Intentions","Sandwich","Felicity",1,"Food"
4,"Good Intentions","Vending_Machine","Felicity",5,"Animate_Artifacts"
4,"Good Intentions","Sewing_Machine","Felicity",3,"Animate_Artifacts"
4,"Good Intentions","Photocopier","Felicity",5,"Animate_Artifacts"
4,"Good Intentions","Dog","Felicity",5,"Animals"
4,"Good Intentions","Lizard","Felicity",2,"Animals"
4,"Good Intentions","Gorilla","Felicity",1,"Animals"
4,"Good Intentions","Microsoft","Felicity",5,"Groups"
4,"Good Intentions","Government","Felicity",1,"Groups"
4,"Good Intentions","Newspaper","Felicity",2,"Groups"
4,"Good Intentions","My_Mother","Felicity",7,"Humans"
4,"Good Intentions","Doctor","Felicity",7,"Humans"
4,"Good Intentions","Cashier","Felicity",7,"Humans"
4,"Good Intentions","Table","Felicity",1,"Inanimate_Artifiacts"
4,"Good Intentions","Chair","Felicity",1,"Inanimate_Artifiacts"
4,"Good Intentions","Shelf","Felicity",1,"Inanimate_Artifiacts"
5,"Reliable","ChatGPT","Felicity",6,"AI"
5,"Reliable","LLM","Felicity",5,"AI"
5,"Reliable","Self_Driving_Car","Felicity",5,"AI"
5,"Reliable","AI","Felicity",6,"AI"
5,"Reliable","Amazon_Alexa","Felicity",5,"AI"
5,"Reliable","Robot","Felicity",6,"AI"
5,"Reliable","Rectangle","Felicity",1,"Abstract"
5,"Reliable","Number_5","Felicity",2,"Abstract"
5,"Reliable","Color_Blue","Felicity",3,"Abstract"
5,"Reliable","Tree","Felicity",2,"Inanimate_Nature"
5,"Reliable","Moon","Felicity",1,"Inanimate_Nature"
5,"Reliable","Stone","Felicity",3,"Inanimate_Nature"
5,"Reliable","Pizza","Felicity",2,"Food"
5,"Reliable","Cheese","Felicity",3,"Food"
5,"Reliable","Sandwich","Felicity",1,"Food"
5,"Reliable","Vending_Machine","Felicity",6,"Animate_Artifacts"
5,"Reliable","Sewing_Machine","Felicity",5,"Animate_Artifacts"
5,"Reliable","Photocopier","Felicity",6,"Animate_Artifacts"
5,"Reliable","Dog","Felicity",6,"Animals"
5,"Reliable","Lizard","Felicity",3,"Animals"
5,"Reliable","Gorilla","Felicity",7,"Animals"
5,"Reliable","Microsoft","Felicity",6,"Groups"
5,"Reliable","Government","Felicity",7,"Groups"
5,"Reliable","Newspaper","Felicity",6,"Groups"
5,"Reliable","My_Mother","Felicity",6,"Humans"
5,"Reliable","Doctor","Felicity",7,"Humans"
5,"Reliable","Cashier","Felicity",7,"Humans"
5,"Reliable","Table","Felicity",3,"Inanimate_Artifiacts"
5,"Reliable","Chair","Felicity",5,"Inanimate_Artifiacts"
5,"Reliable","Shelf","Felicity",5,"Inanimate_Artifiacts"
6,"Reliable","ChatGPT","Sense",4,"AI"
6,"Reliable","LLM","Sense",3,"AI"
6,"Reliable","Self_Driving_Car","Sense",7,"AI"
6,"Reliable","AI","Sense",6,"AI"
6,"Reliable","Amazon_Alexa","Sense",5,"AI"
6,"Reliable","Robot","Sense",7,"AI"
6,"Reliable","Rectangle","Sense",1,"Abstract"
6,"Reliable","Number_5","Sense",1,"Abstract"
6,"Reliable","Color_Blue","Sense",2,"Abstract"
6,"Reliable","Tree","Sense",3,"Inanimate_Nature"
6,"Reliable","Moon","Sense",6,"Inanimate_Nature"
6,"Reliable","Stone","Sense",3,"Inanimate_Nature"
6,"Reliable","Pizza","Sense",1,"Food"
6,"Reliable","Cheese","Sense",1,"Food"
6,"Reliable","Sandwich","Sense",1,"Food"
6,"Reliable","Vending_Machine","Sense",7,"Animate_Artifacts"
6,"Reliable","Sewing_Machine","Sense",6,"Animate_Artifacts"
6,"Reliable","Photocopier","Sense",6,"Animate_Artifacts"
6,"Reliable","Dog","Sense",3,"Animals"
6,"Reliable","Lizard","Sense",1,"Animals"
6,"Reliable","Gorilla","Sense",1,"Animals"
6,"Reliable","Microsoft","Sense",6,"Groups"
6,"Reliable","Government","Sense",6,"Groups"
6,"Reliable","Newspaper","Sense",7,"Groups"
6,"Reliable","My_Mother","Sense",7,"Humans"
6,"Reliable","Doctor","Sense",7,"Humans"
6,"Reliable","Cashier","Sense",7,"Humans"
6,"Reliable","Table","Sense",6,"Inanimate_Artifiacts"
6,"Reliable","Chair","Sense",6,"Inanimate_Artifiacts"
6,"Reliable","Shelf","Sense",7,"Inanimate_Artifiacts"
7,"Good Intentions","ChatGPT","Felicity",3,"AI"
7,"Good Intentions","LLM","Felicity",4,"AI"
7,"Good Intentions","Self_Driving_Car","Felicity",2,"AI"
7,"Good Intentions","AI","Felicity",4,"AI"
7,"Good Intentions","Amazon_Alexa","Felicity",5,"AI"
7,"Good Intentions","Robot","Felicity",5,"AI"
7,"Good Intentions","Rectangle","Felicity",1,"Abstract"
7,"Good Intentions","Number_5","Felicity",1,"Abstract"
7,"Good Intentions","Color_Blue","Felicity",1,"Abstract"
