"PID","Attention_Check","Score","Item","Trait","Order"
1,"6",2,"DALL-E","trust","10"
1,"6",2,"DALL-E","reliable","17"
1,"6",2,"DALL-E","good-intentions","18"
1,"6",3,"Google's AI Overviews","trust","11"
1,"6",2,"Google's AI Overviews","reliable","16"
1,"6",3,"Google's AI Overviews","good-intentions","7"
1,"6",3,"the AI photo editing tool","trust","6"
1,"6",4,"the AI photo editing tool","reliable","12"
1,"6",5,"the AI photo editing tool","good-intentions","4"
1,"6",5,"the robot vacuum","trust","3"
1,"6",3,"the robot vacuum","reliable","15"
1,"6",3,"the robot vacuum","good-intentions","9"
1,"6",2,"the AI therapist","trust","13"
1,"6",2,"the AI therapist","reliable","5"
1,"6",2,"the AI therapist","good-intentions","2"
1,"6",2,"the factory robot","trust","14"
1,"6",3,"the factory robot","reliable","8"
1,"6",3,"the factory robot","good-intentions","1"
2,"6",5,"the AI photo editing tool","trust","5"
2,"6",6,"the AI photo editing tool","reliable","18"
2,"6",3,"the AI photo editing tool","good-intentions","3"
2,"6",5,"the predictive policing algorithm","trust","7"
2,"6",5,"the predictive policing algorithm","reliable","15"
2,"6",2,"the predictive policing algorithm","good-intentions","11"
2,"6",5,"the robot vacuum","trust","4"
2,"6",6,"the robot vacuum","reliable","6"
2,"6",2,"the robot vacuum","good-intentions","12"
2,"6",5,"Google's AI Overviews","trust","8"
2,"6",5,"Google's AI Overviews","reliable","2"
2,"6",3,"Google's AI Overviews","good-intentions","13"
2,"6",5,"the audio transcription AI","trust","10"
2,"6",5,"the audio transcription AI","reliable","1"
2,"6",3,"the audio transcription AI","good-intentions","16"
2,"6",2,"the factory robot","trust","17"
2,"6",4,"the factory robot","reliable","9"
2,"6",2,"the factory robot","good-intentions","14"
3,"8",7,"Google's AI Overviews","trust","5"
3,"8",7,"Google's AI Overviews","reliable","4"
3,"8",7,"Google's AI Overviews","good-intentions","8"
3,"8",7,"the predictive policing algorithm","trust","6"
3,"8",7,"the predictive policing algorithm","reliable","3"
3,"8",7,"the predictive policing algorithm","good-intentions","11"
3,"8",4,"the robot vacuum","trust","16"
3,"8",7,"the robot vacuum","reliable","1"
3,"8",7,"the robot vacuum","good-intentions","18"
3,"8",7,"DALL-E","trust","9"
3,"8",7,"DALL-E","reliable","15"
3,"8",7,"DALL-E","good-intentions","13"
3,"8",7,"the self-driving car","trust","10"
3,"8",7,"the self-driving car","reliable","14"
3,"8",4,"the self-driving car","good-intentions","2"
3,"8",7,"Amazon Alexa","trust","12"
3,"8",7,"Amazon Alexa","reliable","17"
3,"8",7,"Amazon Alexa","good-intentions","7"
4,"8",7,"Amazon Alexa","trust","9"
4,"8",7,"Amazon Alexa","reliable","4"
4,"8",3,"Amazon Alexa","good-intentions","3"
4,"8",7,"the Instagram filter","trust","18"
4,"8",7,"the Instagram filter","reliable","5"
4,"8",1,"the Instagram filter","good-intentions","11"
4,"8",7,"the autonomous killer drone","trust","17"
4,"8",7,"the autonomous killer drone","reliable","6"
4,"8",6,"the autonomous killer drone","good-intentions","13"
4,"8",7,"Apple’s Siri","trust","2"
4,"8",7,"Apple’s Siri","reliable","1"
4,"8",3,"Apple’s Siri","good-intentions","7"
4,"8",7,"the AI therapist","trust","16"
4,"8",7,"the AI therapist","reliable","12"
4,"8",5,"the AI therapist","good-intentions","8"
4,"8",7,"the smart watch","trust","14"
4,"8",7,"the smart watch","reliable","15"
4,"8",2,"the smart watch","good-intentions","10"
5,"8",6,"the predictive policing algorithm","trust","2"
5,"8",4,"the predictive policing algorithm","reliable","17"
5,"8",6,"the predictive policing algorithm","good-intentions","9"
5,"8",7,"the Artificial Moral Advisor","trust","6"
5,"8",4,"the Artificial Moral Advisor","reliable","14"
5,"8",5,"the Artificial Moral Advisor","good-intentions","12"
5,"8",6,"the factory robot","trust","3"
5,"8",6,"the factory robot","reliable","16"
5,"8",1,"the factory robot","good-intentions","4"
5,"8",5,"DALL-E","trust","13"
5,"8",5,"DALL-E","reliable","18"
5,"8",1,"DALL-E","good-intentions","11"
5,"8",7,"Amazon Alexa","trust","8"
5,"8",7,"Amazon Alexa","reliable","1"
5,"8",1,"Amazon Alexa","good-intentions","10"
5,"8",7,"ChatGPT","trust","5"
5,"8",7,"ChatGPT","reliable","7"
5,"8",3,"ChatGPT","good-intentions","15"
6,"8",4,"DALL-E","trust","18"
6,"8",5,"DALL-E","reliable","14"
6,"8",3,"DALL-E","good-intentions","16"
6,"8",5,"Apple’s Siri","trust","13"
6,"8",7,"Apple’s Siri","reliable","6"
6,"8",5,"Apple’s Siri","good-intentions","5"
6,"8",5,"the AI photo editing tool","trust","11"
6,"8",6,"the AI photo editing tool","reliable","10"
6,"8",3,"the AI photo editing tool","good-intentions","4"
6,"8",6,"the factory robot","trust","3"
6,"8",6,"the factory robot","reliable","8"
6,"8",2,"the factory robot","good-intentions","15"
6,"8",4,"the autonomous killer drone","trust","17"
6,"8",3,"the autonomous killer drone","reliable","12"
6,"8",3,"the autonomous killer drone","good-intentions","7"
6,"8",5,"Microsoft Copilot","trust","2"
6,"8",6,"Microsoft Copilot","reliable","9"
6,"8",5,"Microsoft Copilot","good-intentions","1"
7,"8",6,"the spam filter","trust","17"
7,"8",7,"the spam filter","reliable","6"
7,"8",1,"the spam filter","good-intentions","18"
7,"8",1,"the audio transcription AI","trust","1"
7,"8",7,"the audio transcription AI","reliable","3"
7,"8",1,"the audio transcription AI","good-intentions","13"
7,"8",7,"the predictive sentencing algorithm","trust","9"
7,"8",7,"the predictive sentencing algorithm","reliable","11"
7,"8",7,"the predictive sentencing algorithm","good-intentions","2"
7,"8",7,"the factory robot","trust","10"
7,"8",7,"the factory robot","reliable","8"
7,"8",3,"the factory robot","good-intentions","5"
7,"8",3,"the robot vacuum","trust","16"
7,"8",7,"the robot vacuum","reliable","7"
7,"8",1,"the robot vacuum","good-intentions","15"
7,"8",7,"the AI photo editing tool","trust","12"
7,"8",7,"the AI photo editing tool","reliable","4"
7,"8",1,"the AI photo editing tool","good-intentions","14"
8,"8",5,"the self-driving car","trust","15"
8,"8",5,"the self-driving car","reliable","18"
8,"8",5,"the self-driving car","good-intentions","10"
8,"8",6,"the predictive policing algorithm","trust","5"
8,"8",5,"the predictive policing algorithm","reliable","17"
8,"8",5,"the predictive policing algorithm","good-intentions","11"
8,"8",6,"the predictive sentencing algorithm","trust","7"
8,"8",6,"the predictive sentencing algorithm","reliable","2"
8,"8",5,"the predictive sentencing algorithm","good-intentions","13"
8,"8",5,"the smart watch","trust","12"
8,"8",6,"the smart watch","reliable","6"
8,"8",4,"the smart watch","good-intentions","9"
8,"8",5,"the audio transcription AI","trust","8"
8,"8",6,"the audio transcription AI","reliable","3"
8,"8",5,"the audio transcription AI","good-intentions","1"
8,"8",5,"the AI photo editing tool","trust","16"
8,"8",5,"the AI photo editing tool","reliable","14"
8,"8",3,"the AI photo editing tool","good-intentions","4"
9,"8",7,"the predictive sentencing algorithm","trust","18"
9,"8",6,"the predictive sentencing algorithm","reliable","9"
9,"8",2,"the predictive sentencing algorithm","good-intentions","8"
9,"8",4,"the Instagram filter","trust","7"
9,"8",6,"the Instagram filter","reliable","6"
9,"8",1,"the Instagram filter","good-intentions","13"
9,"8",7,"the self-driving car","trust","10"
9,"8",7,"the self-driving car","reliable","14"
9,"8",2,"the self-driving car","good-intentions","2"
9,"8",6,"Amazon Alexa","trust","4"
9,"8",7,"Amazon Alexa","reliable","3"
9,"8",2,"Amazon Alexa","good-intentions","5"
9,"8",7,"the Artificial Moral Advisor","trust","15"
9,"8",5,"the Artificial Moral Advisor","reliable","12"
9,"8",4,"the Artificial Moral Advisor","good-intentions","1"
9,"8",2,"the robot vacuum","trust","16"
9,"8",7,"the robot vacuum","reliable","11"
9,"8",1,"the robot vacuum","good-intentions","17"
10,"8",5,"Microsoft Copilot","trust","11"
10,"8",5,"Microsoft Copilot","reliable","9"
10,"8",4,"Microsoft Copilot","good-intentions","17"
10,"8",7,"the smart watch","trust","14"
10,"8",6,"the smart watch","reliable","10"
10,"8",6,"the smart watch","good-intentions","12"
10,"8",2,"the AI photo editing tool","trust","16"
10,"8",7,"the AI photo editing tool","reliable","2"
10,"8",2,"the AI photo editing tool","good-intentions","8"
10,"8",4,"the Instagram filter","trust","7"
10,"8",3,"the Instagram filter","reliable","4"
10,"8",6,"the Instagram filter","good-intentions","18"
10,"8",2,"the predictive sentencing algorithm","trust","3"
10,"8",1,"the predictive sentencing algorithm","reliable","5"
10,"8",1,"the predictive sentencing algorithm","good-intentions","6"
10,"8",6,"the autonomous killer drone","trust","15"
